238.319 258.07 151.092 170.844
237.46 255.846 264.57 282.957
right
289,247 286,252
286,252 282,255
282,255 277,257
277,257 269,257
269,257 261,256
261,256 254,254
254,254 249,252
249,252 247,251
287,244 285,242
285,242 280,239
280,239 273,237
273,237 264,238
264,238 256,242
289,247 287,244
247,251 256,242
left
142,247 145,252
145,252 148,255
148,255 153,258
153,258 161,259
161,259 168,258
168,258 175,256
175,256 179,254
179,254 181,253
144,245 146,243
146,243 150,240
150,240 158,239
158,239 166,240
166,240 174,245
142,247 144,245
181,253 174,245
